Name,Ratings,Description,Highly Rated for,Critical Rated for,Reviews,Salaries,Interviews,Jobs,Benefits
TCS,3.2,IT Services & Consulting | Bengaluru +478 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1.2L,10.4L,11.4k,5.6k,11k
Accenture,3.7,IT Services & Consulting | Bengaluru +280 other locations,"Promotions, Salary, Work Satisfaction",,76.3k,7.3L,9.6k,16.6k,7k
Wipro,3.6,IT Services & Consulting | Hyderabad +392 other locations,"Promotions, Salary, Work Satisfaction",,67.2k,4.9L,7k,3,4.9k
Cognizant,3.7,IT Services & Consulting | Hyderabad +254 other locations,"Promotions, Salary, Work Satisfaction",,63.5k,6.1L,6.6k,961,5.7k
Capgemini,3.6,IT Services & Consulting | Bengaluru +204 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",55.7k,5L,5.7k,2.2k,3.9k
HDFC Bank,3.8,Banking | Mumbai +1904 other locations,Job Security,"Promotions, Salary",54.9k,1.6L,3.2k,525,3.4k
Infosys,3.5,IT Services & Consulting | Bengaluru +258 other locations,Job Security,"Promotions, Salary, Work Satisfaction",50.5k,5.4L,8.6k,3.8k,4.9k
HCLTech,3.4,IT Services & Consulting | Bengaluru +363 other locations,"Promotions, Salary, Work Satisfaction",,48.4k,4L,4.7k,326,4k
ICICI Bank,4.0,Banking | Mumbai +1476 other locations,"Job Security, Promotions, Skill Development",,47.2k,1.6L,3k,23,3.8k
Tech Mahindra,3.3,IT Services & Consulting | Hyderabad +339 other locations,"Promotions, Salary, Work Satisfaction",,44.9k,2.9L,4.7k,823,3.5k
Genpact,3.6,Analytics & KPO | Hyderabad +186 other locations,Job Security,"Promotions, Salary, Work Satisfaction",44.1k,2.4L,4k,511,3.7k
TP,3.9,BPO | Mumbai +269 other locations,"Work Life Balance, Job Security, Skill Development",,40.3k,1L,2.3k,1.2k,2k
Axis Bank,3.6,Banking | Mumbai +1564 other locations,"Promotions, Work Satisfaction, Company Culture",,34.7k,1L,2k,235,2.2k
Jio,4.4,Telecom | Mumbai +1980 other locations,"Job Security, Company Culture, Work Life Balance",,34.4k,61.1k,4.6k,--,2.6k
Concentrix Corporation,3.5,BPO | Bengaluru +194 other locations,Job Security,"Promotions, Salary, Work Satisfaction",33.3k,1.3L,2.1k,35,3.2k
Amazon,3.9,Internet | Bengaluru +553 other locations,"Company Culture, Work Life Balance, Salary",Promotions,32.9k,1.6L,6.2k,88,3.5k
